N_value,P_value,K_value,Fertilizer
0.37,         19.00,         0.59,         100
0.82,         2.00,         0.56,         110
0.73,         4.00,         0.19,         115
2.12,         2.00,         0.63,         30
1.96,         15.00,         0.25,         35
0.51,         20.00,         0.12,         110
1.15,         1.00,         0.73,         60
2.07,         9.00,         0.14,         60
0.76,         20.00,         0.62,         90
1.49,         10.00,         0.16,         60
0.92,         26.00,         0.51,         90
0.91,         22.00,         0.18,         90
0.97,         23.00,         0.57,         90
2.04,         10.00,         0.51,         80
2.23,         19.00,         0.25,         30
1.12,         11.00,         0.65,         50
0.50,         5.00,         0.55,         90
2.08,         10.00,         0.37,         100
1.90,         18.00,         0.51,         40
2.07,         6.00,         0.38,         45
2.23,         2.00,         0.30,         50
1.94,         11.00,         0.52,         40
0.91,         19.00,         0.41,         80
0.49,         23.00,         0.14,         110
1.00,         1.00,         0.23,         80
0.39,         29.00,         0.71,         110
1.31,         12.00,         0.14,         60
1.95,         28.00,         0.37,         40
0.48,         28.00,         0.45,         100
1.40,         21.00,         0.32,         40
1.85,         6.00,         0.55,         45
1.95,         17.00,         0.41,         40
2.05,         27.00,         0.67,         50
1.14,         12.00,         0.49,         40
1.97,         21.00,         0.61,         50
0.45,         20.00,         0.30,         100
2.28,         4.00,         0.16,         50
1.02,         29.00,         0.60,         40
0.82,         7.00,         0.58,         60
0.46,         14.00,         0.34,         100
1.63,         17.00,         0.64,         50
2.30,         18.00,         0.64,         20
1.04,         16.00,         0.29,         35
0.93,         8.00,         0.47,         80
2.21,         24.00,         0.33,         25
2.05,         7.00,         0.74,         30
1.15,         25.00,         0.36,         40
1.22,         25.00,         0.70,         50
1.58,         18.00,         0.15,         60
1.59,         9.00,         0.41,         40
1.24,         22.00,         0.62,         50
2.35,         6.00,         0.74,         30
0.79,         21.00,         0.68,         80
1.87,         21.00,         0.60,         40
0.87,         24.00,         0.25,         90
1.24,         3.00,         0.73,         50
1.41,         24.00,         0.27,         60
1.33,         12.00,         0.25,         35
0.49,         10.00,         0.60,         100
0.69,         12.00,         0.59,         80
0.78,         23.00,         0.19,         90
1.56,         8.00,         0.33,         40
2.36,         6.00,         0.64,         30
1.53,         6.00,         0.41,         45
